34,20,66,50,223,116,48,11,10,17,0
35,20,57,45,165,93,43,10,10,17,1
33,39,65,42,191,78,88,11,11,17,1
35,20,66,47,225,103,54,13,13,17,1
29,38,56,39,155,68,56,11,12,17,1
34,40,72,54,273,143,47,13,12,17,1
35,20,57,45,158,94,40,10,11,17,1
35,20,65,45,215,92,57,90,11,17,1
27,41,56,43,154,83,44,12,9,17,1
35,20,67,53,230,135,41,9,10,17,1
35,20,57,44,162,87,46,100,10,17,1
35,20,70,55,252,150,41,9,9,17,1
37,20,60,41,178,75,58,13,11,17,1
37,20,56,40,158,70,55,12,12,17,1
35,20,62,48,195,108,44,9,10,17,1
35,20,62,45,191,94,50,9,9,17,1
33,20,67,55,237,149,36,10,10,17,2
35,20,47,31.5,104,30,71,10,9,17,1
35,20,57,41,165,76,53,12,11,17,1
33,44,56,42,155,78,49,110,11,23,1
35,20,52,32,127,41,67,13,12,17,1
35,45,77,62,323,194,39,100,11,22,2
31,33,64,41,208,76,63.3,10,12,17,2
35,20,46,30,97,35,65,12,9,17,1
32,37,56,39,155,68,56,100,10,33,1
34,38,60,45,184,96,47,100,10,22,1
35,20,61,46,184,99,46,9,8,17,1
39,32,58,40,171,70,58,11,11,23,1
31,30,54,37,143,58,59,100,11,15,2
29,33,51,33,124,45,63,130,10,13,1
31,20,58,41,168,76,54,8,8,17,1
39,20,57,42,165,80,51,110,11,24,1
30,36,52.1,38,127,62,50,10,11,24,2
34,37,53,35,140,51,63,110,11,28,1
30,36,51,31,121,38,68,12,11,20,1
30,27,49,33,116,47,59,100,10,23,1
31,43,48,33,108,48,58.1,140,12,16,2
36,48,56,43,155,85,45.4,130,12,17,2
29,20,41,29,77,33,56,7,7,17,1
35,20,63,55,203,148,29,9,9,17,1
38,20,60,45,181,94,48,9,8,17,0
30,35,54,35,141,50,64,9,9,20,1
31,38,44,30,88,35,60,12,7,26,1
32,44,73,60,280,180,35,11,12,24,1
24,20,51,29,125,32,74,6,8,17,1
35,20,54,29,140,32,79.5,9,9,17,1
35,20,47,30,105,34,67,10,9,17,1
33,32,45,31,96,40,57,100,10,21,1
35,20,46,31,99,37,63,12,10,17,1
35,20,57,45,160,93,42,9,7,17,1
35,20,67,49,234,115,50,9,9,17,1
32,32,53,37,140,58,58,11,11,25,1
35,32,53,36,136,51,59,10,9,21,1
35,40,55,38,147,62,57,11,10,27,1
33,32,56,38,153,62,57,110,9,10,2
31,36,51,33,122,45,63,110,8,16,2
31,33,55,36,150,54,64,100,9,20,1
31,30,52,34,132,48,63,100,9,20,1
33,20,52,38,130,64,50,10,10,17,1
23,33,49,33,114,44,62,12,10,19,2
31,49,58,35,167,51,67,8,8,29,1
29,55,78,65,333,215,35,8,8,17,1
27,34,53,34,135,46,66,10,8,21,1
27,32,51,33,122,44,64,10,6,23,1
